treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_2,,14165,6407.0,2016-03-01,operator_7,7735.0,1309.0497,9.45,16,9039,35326.04,0.37,0.02,0.33,0.8,4.61,0.57,13213.26,6968.03,30.95,4020.0,,95,41,12056189.0,1.2,1299.256084,2909,415.57142857142856,7.96986301369863
treatment_company_2,-24.940001,16580,7499.0,2014-07-01,operator_6,8738.0,1424.7654,12.76,7,0,34559.0,0.57,0.02,0.33,,4.63,0.35,13484.98,6906.2,30.74,5415.0,,95,37,12877900.0,1.39,4805.400412,3518,502.57142857142856,9.638356164383561
treatment_company_12,-37.650002,18129,8939.0,2017-10-01,operator_25,8940.0,4034.8218,3.02,8,4088,32170.72,1.73,,0.25,,4.0,0.65,11518.81,6848.73,28.2,5566.0,,87,52,22975888.0,1.36,3265.787761,2330,332.85714285714283,6.383561643835616
treatment_company_2,-36.720001,16690,9067.0,2012-07-01,operator_20,7471.0,1520.3284,6.46,16,7212,34250.42,0.27,0.02,0.25,0.98,4.57,0.66,11857.84,7098.6,31.1,6498.0,,73,14,4764219.0,0.74,1830.203588,4248,606.8571428571429,11.638356164383561
treatment_company_12,-25.23,13639,8442.0,2013-01-01,operator_9,4888.0,3094.9485,30.32,3,2829,34579.27,0.91,0.05,0.29,,4.51,0.49,11650.92,7065.54,31.66,6507.0,,90,25,7399600.0,1.09,534.7422141,4064,580.5714285714286,11.134246575342466
treatment_company_9,-30.030001,9104,6958.0,2013-07-01,operator_14,1713.0,2724.8481,33.74,11,5571,34521.71,0.14,0.02,0.24,,4.98,0.54,11633.39,6785.25,27.69,5065.0,6253.0,84,11,4184888.0,1.12,2181.872394,3883,554.7142857142857,10.638356164383561
treatment_company_23,-49.009998,11017,6598.0,2013-07-01,operator_11,3873.0,,535.51,1,6201,34350.94,0.44,,0.33,0.72,4.8,0.63,13303.38,7099.04,31.24,3745.0,,70,18,5267722.0,0.96,643.7378028,3883,554.7142857142857,10.638356164383561
treatment_company_1,,11950,7588.0,2014-07-01,operator_14,3883.0,,505.11,1,7966,33699.55,0.52,,0.27,,3.45,0.56,11161.52,6777.91,28.81,5812.0,7639.0,80,19,,0.99,2977.513066,3518,502.57142857142856,9.638356164383561
treatment_company_3,-21.139999,11929,6385.0,2015-11-01,operator_5,5250.0,1381.0585,8.92,10,5340,33268.28,0.47,0.02,0.33,0.89,4.64,0.57,13179.22,7054.25,31.2,4811.0,,71,26,6172899.0,0.89,1314.506309,3030,432.85714285714283,8.301369863013699
treatment_company_9,-29.92,15289,8165.0,2017-08-01,operator_6,6874.0,1201.098,49.96,1,0,35200.81,0.6,0.06,0.22,0.9,2.86,0.52,11800.99,6807.22,28.09,5847.0,,98,26,10284680.0,1.76,3193.663828,2391,341.57142857142856,6.550684931506849
treatment_company_8,-36.91,13160,8731.0,2016-10-01,operator_11,4082.0,1042.7532,159.18,14,3616,33915.34,0.71,0.05,0.23,,4.46,0.49,11953.71,7115.81,30.65,4970.0,,67,21,6213921.0,2.97,922.6705348,2695,385.0,7.383561643835616
treatment_company_9,-32.369999,11210,6595.0,2016-11-01,operator_14,4365.0,1187.6318,0.43,18,8370,33492.45,0.65,0.05,0.26,,5.12,0.54,11958.81,6776.77,27.72,,7246.0,82,21,7980328.0,1.06,4620.614934,2664,380.57142857142856,7.298630136986302
treatment_company_7,-18.32,15187,9102.0,2014-07-01,operator_11,5963.0,1906.4178,12.93,8,0,34906.12,0.31,0.03,0.25,,4.57,0.63,11850.62,7098.2,31.07,6302.0,7006.0,71,30,3424036.0,1.01,2516.04819,3518,502.57142857142856,9.638356164383561
treatment_company_8,,12540,6575.0,2012-07-01,operator_4,5508.0,,2.34,19,7815,33131.2,0.29,,0.33,,4.68,0.62,13196.24,6988.52,31.04,4528.0,,83,18,7514996.0,1.12,662.9539522,4248,606.8571428571429,11.638356164383561
treatment_company_4,-31.35,16947,7676.0,2015-07-01,operator_4,8744.0,1473.2708,30.58,5,438,29852.84,0.06,0.03,0.34,,4.71,0.83,12969.47,6927.79,30.95,6189.0,,100,59,14618668.0,0.92,2650.049533,3153,450.42857142857144,8.638356164383561
treatment_company_10,-34.349998,13736,6600.0,2018-07-01,operator_16,6499.0,2604.1125,307.42,1,484,34589.6,0.55,0.01,0.34,,4.71,0.38,13462.05,6905.12,30.74,3833.0,7651.0,80,33,6979454.0,0.71,1587.049327,2057,293.85714285714283,5.635616438356164
treatment_company_12,-44.189999,10270,6263.0,2015-02-01,operator_25,3812.0,1507.9883,4.9,12,0,35210.29,0.54,0.02,0.21,0.76,4.75,0.41,13452.27,6795.38,26.47,4432.0,,91,24,10301531.0,1.27,1541.862095,3303,471.85714285714283,9.04931506849315
treatment_company_12,9.9799995,15160,7743.0,2018-02-01,operator_4,7167.0,1492.8489,0.78,10,0,34610.82,0.45,0.02,0.33,,4.73,0.6,13262.2,7026.82,31.1,,,98,19,7609006.0,1.25,1495.562704,2207,315.2857142857143,6.046575342465753
treatment_company_9,-5.96,14212,8178.0,2012-07-01,operator_17,5512.0,3847.2051,16.3,4,0,34675.16,0.01,0.02,0.25,,2.01,0.64,11168.53,6791.41,28.52,5774.0,,78,17,,0.47,1958.938964,4248,606.8571428571429,11.638356164383561
treatment_company_2,-26.23,11955,7269.0,2015-02-01,operator_6,4436.0,1403.0681,4.86,7,0,34774.38,0.12,,0.24,0.96,4.52,0.57,11361.81,6789.11,27.81,,,99,20,8896262.0,1.55,3785.863215,3303,471.85714285714283,9.04931506849315
treatment_company_10,-54.5,10323,6571.0,2013-02-01,operator_11,3489.0,4989.8267,16.04,24,0,34782.05,0.43,0.02,0.33,,4.75,0.46,13188.1,7182.15,31.45,4171.0,,70,17,5071552.0,0.96,518.5701859,4033,576.1428571428571,11.04931506849315
treatment_company_4,-49.299999,17903,7787.0,2016-02-01,operator_4,9866.0,3806.5669,6.07,8,2385,34775.43,1.2,0.07,0.35,,5.08,0.93,12073.87,6411.02,,5675.0,,86,58,,0.9,2347.619465,2938,419.7142857142857,8.04931506849315
treatment_company_8,-40.880001,11000,6217.0,2011-01-01,operator_23,4663.0,4690.1875,20.66,1,1791,32718.75,0.39,0.02,0.33,,4.72,0.58,13268.2,7001.02,31.04,4567.0,,79,19,5590514.0,1.07,245.2246417,4795,685.0,13.136986301369863
treatment_company_7,-46.360001,12800,9022.0,2013-01-01,operator_11,2654.0,3547.989,1.29,31,14985,35039.79,0.56,0.04,0.26,,4.84,0.8,11836.17,7093.81,31.41,6194.0,,68,9,1358721.0,0.55,555.4331335,4064,580.5714285714286,11.134246575342466
treatment_company_8,,15111,6318.0,2013-12-01,operator_1,8372.0,,41.96,15,10042,33923.5,0.26,0.01,0.33,,4.78,0.52,13552.73,6998.7,30.93,,,78,32,11923180.0,1.24,1107.986767,3730,532.8571428571429,10.219178082191782
treatment_company_12,-13.13,13620,7745.0,2014-01-01,operator_25,5536.0,3057.3665,31.27,4,0,30102.8,0.3,0.02,0.26,,2.4,0.6,11131.11,6782.47,28.77,5866.0,,86,30,8991503.0,0.84,1038.619181,3699,528.4285714285714,10.134246575342466
treatment_company_12,-61.389999,13565,5836.0,2014-07-01,operator_19,7602.0,1633.3925,0.46,8,3831,34198.38,0.5,0.02,0.33,0.85,4.9,0.53,13286.44,7014.33,31.03,4312.0,,82,32,,0.8,866.1471964,3518,502.57142857142856,9.638356164383561
treatment_company_1,-47.549999,13948,8123.0,2011-07-01,operator_20,5553.0,2650.5256,4.89,9,3073,34653.08,1.0,0.06,0.29,,5.95,0.44,11644.36,7034.93,31.58,6067.0,,84,14,4933661.0,1.31,1203.425998,4614,659.1428571428571,12.64109589041096
treatment_company_10,-57.98,12350,6634.0,2015-09-01,operator_4,5466.0,1055.963,65.03,2,5024,34805.43,0.56,0.01,0.33,0.86,4.79,0.42,13451.81,6932.67,30.82,4940.0,,98,24,7147026.0,0.89,1397.143066,3091,441.57142857142856,8.468493150684932
treatment_company_3,-28.23,17275,6408.0,2016-04-01,operator_5,10598.0,3292.4211,22.69,7,3927,34634.34,1.16,0.05,0.34,,3.74,1.71,12509.37,6576.96,29.96,4922.0,,72,71,15349165.0,0.91,2901.399644,2878,411.14285714285717,7.884931506849315
treatment_company_1,-11.23,13591,7599.0,2016-06-01,operator_11,4759.0,4637.3706,5.1,6,0,32095.76,0.57,0.03,0.33,0.85,4.63,0.46,12889.83,7136.86,31.54,5295.0,5678.0,70,24,4731106.0,1.41,1397.743905,2817,402.42857142857144,7.717808219178083
treatment_company_17,-1.1,16188,7040.0,2017-07-01,operator_16,8898.0,1592.8087,29.11,7,4437,27888.26,1.05,0.05,0.34,,3.82,1.63,12585.78,6570.42,29.93,4284.0,,80,43,4863200.0,0.94,1720.426026,2422,346.0,6.635616438356164
treatment_company_9,,14342,6371.0,2019-01-01,operator_5,7562.0,1932.4644,18.15,8,0,34719.56,0.63,0.01,0.33,,4.93,0.45,13486.3,6960.06,30.88,4044.0,,77,38,15242850.0,1.17,2289.686636,1873,267.57142857142856,5.131506849315069
treatment_company_10,12.96,12200,7520.0,2012-07-01,operator_25,4184.0,1290.8907,10.55,9,1742,35169.83,0.63,0.02,0.27,,4.12,0.54,11185.33,6775.93,28.77,5837.0,,89,16,,2.4,3417.686056,4248,606.8571428571429,11.638356164383561
treatment_company_1,-72.230003,13945,8016.0,2013-07-01,operator_33,4840.0,1253.2977,19.44,13,6271,34680.61,0.89,,0.33,,4.64,0.94,12940.17,7418.72,33.1,6396.0,9128.0,79,17,4800144.0,0.93,953.7184041,3883,554.7142857142857,10.638356164383561
treatment_company_9,-26.780001,17713,8394.0,2017-09-01,operator_6,9207.0,1244.8481,1.49,24,2516,34661.95,0.72,0.06,0.22,0.84,2.51,0.53,12088.5,6810.84,28.23,6476.0,,89,65,24405690.0,1.74,5258.248058,2360,337.14285714285717,6.465753424657534
treatment_company_4,-65.199997,11609,5916.0,2017-06-01,operator_19,5288.0,,6.03,6,0,34773.26,0.56,0.01,0.33,0.78,4.75,0.4,13457.7,6923.45,30.79,4191.0,,84,22,7576739.0,0.72,527.7962332,2452,350.2857142857143,6.717808219178083
treatment_company_17,-43.029999,18919,7899.0,2018-09-01,operator_12,10351.0,3501.4709,115.46,2,7579,30979.92,0.54,0.01,0.33,0.86,4.83,0.42,13453.26,6933.44,30.81,5925.0,7410.0,80,52,18151500.0,1.07,2109.53482,1995,285.0,5.465753424657534
treatment_company_8,-34.32,14716,8642.0,2014-01-01,operator_6,5824.0,3160.4092,5.31,21,0,35215.04,1.15,0.08,0.21,,2.94,0.46,11812.77,6816.2,28.0,5827.0,,73,24,11585522.0,1.38,3078.057344,3699,528.4285714285714,10.134246575342466
treatment_company_1,-25.370001,12148,5868.0,2017-10-01,operator_11,6030.0,1841.3995,0.96,4,0,30817.54,0.53,,0.33,,4.78,0.41,13451.61,6934.0,30.82,4102.0,6024.0,94,28,11245612.0,1.02,908.3133943,2330,332.85714285714283,6.383561643835616
treatment_company_9,-13.98,16913,8780.0,2015-06-01,operator_11,7705.0,900.8363,8.39,6,0,34700.6,0.35,0.03,0.25,0.97,4.61,0.62,11838.53,7095.44,31.08,6017.0,,71,40,4578652.0,1.03,3753.75364,3183,454.7142857142857,8.72054794520548
treatment_company_16,-22.1,17682,6753.0,2015-07-01,operator_4,10679.0,,10.2,5,4320,34671.63,0.26,0.01,0.33,,4.68,0.61,13255.15,6964.58,30.96,5176.0,8867.0,96,55,16368358.0,0.92,1770.116867,3153,450.42857142857144,8.638356164383561
treatment_company_1,-70.739998,11019,6515.0,2012-04-01,operator_11,3571.0,4166.6694,1.7,9,5592,34895.95,0.37,0.02,0.33,,4.77,0.44,13229.74,7173.83,31.42,3705.0,,69,12,3618407.0,0.92,340.3033477,4339,619.8571428571429,11.887671232876713
treatment_company_5,-32.650002,16000,7493.0,2012-07-01,operator_8,7922.0,452.8295,6.6,9,0,34850.7,1.23,0.04,0.32,0.82,4.86,0.95,12595.56,7452.86,32.87,5541.0,6455.0,86,28,,0.44,1123.177268,4248,606.8571428571429,11.638356164383561
treatment_company_9,-40.810001,17253,6811.0,2016-04-01,operator_1,10147.0,645.08032,3.75,13,0,34601.01,1.21,0.05,0.31,,4.76,0.45,12628.75,6759.13,,4923.0,,97,27,20012994.0,1.59,2707.71086,2878,411.14285714285717,7.884931506849315
treatment_company_7,-8.8199997,14328,8640.0,2011-11-01,operator_11,5480.0,,15.28,2,2721,34850.7,0.93,0.05,0.29,0.33,4.22,0.66,11806.83,7088.34,31.83,6162.0,,71,17,6958081.0,1.23,1536.894674,4491,641.5714285714286,12.304109589041095
treatment_company_8,-15.95,16753,6103.0,2015-01-01,operator_1,10153.0,2925.3938,525.5,1,4768,34779.81,0.3,0.01,0.33,0.84,4.84,0.54,13355.79,7119.13,31.26,4261.0,,37,40,14720418.0,1.27,1071.104173,3334,476.2857142857143,9.134246575342466
treatment_company_7,16.24,12425,8961.0,2013-02-01,operator_11,2423.0,993.44464,37.23,8,3651,34589.6,0.31,0.02,0.26,,4.37,0.68,11855.48,7095.21,31.29,,,69,10,1228056.0,0.57,1593.299778,4033,576.1428571428571,11.04931506849315
treatment_company_12,-41.25,14296,7626.0,2018-05-01,operator_4,6297.0,4052.1416,22.23,5,3462,34289.8,0.52,0.03,0.33,0.86,4.69,0.52,12821.43,7140.64,31.61,5383.0,,98,33,14598441.0,1.46,2624.514598,2118,302.57142857142856,5.802739726027397
treatment_company_11,-31.74,12630,6936.0,2015-10-01,operator_14,5353.0,3892.6096,38.23,13,6264,35097.07,1.07,0.03,0.29,,4.76,0.45,11837.54,6766.12,28.63,5128.0,,81,30,,1.06,5580.788188,3061,437.2857142857143,8.386301369863014
treatment_company_1,-43.099998,17390,7325.0,2018-12-01,operator_6,9425.0,2511.2312,17.24,2,5227,33244.59,0.3,0.01,0.33,0.85,4.69,0.6,13252.12,6966.27,30.96,5504.0,,92,39,14981811.0,1.63,8526.300624,1904,272.0,5.2164383561643834
treatment_company_12,-15.98,19905,5602.0,2017-03-01,operator_8,13209.0,2242.8591,32.55,3,3779,34358.96,0.52,0.01,0.34,,4.73,0.51,13400.65,6960.89,30.93,,,99,27,,1.33,1140.274818,2544,363.42857142857144,6.96986301369863
treatment_company_4,-54.57,13517,6297.0,2014-07-01,operator_1,6970.0,1586.9873,5.85,5,3278,33424.88,0.47,,0.33,,4.68,0.59,13214.46,7040.7,31.16,,5933.0,99,15,9659354.0,1.47,1580.059715,3518,502.57142857142856,9.638356164383561
treatment_company_4,-36.07,15998,6156.0,2017-04-01,operator_7,9510.0,1459.3691,31.14,3,4184,34207.25,0.31,0.02,0.33,0.87,4.67,0.62,13194.92,6992.86,31.05,4274.0,,95,47,12339629.0,1.25,1163.827045,2513,359.0,6.884931506849315
treatment_company_16,-30.25,16545,7935.0,2015-02-01,operator_4,7885.0,1488.7592,5.58,8,0,31386.11,0.05,0.02,0.34,,4.6,0.73,13166.28,6894.45,30.77,5866.0,9079.0,90,52,10443903.0,0.86,2918.44662,3303,471.85714285714283,9.04931506849315
treatment_company_8,,13464,7182.0,2016-12-01,operator_6,5911.0,1467.8705,2.17,28,16451,34853.53,0.92,,0.21,0.64,4.75,0.68,11027.84,6805.19,27.36,5286.0,,96,24,,2.11,2951.680889,2634,376.2857142857143,7.2164383561643834
treatment_company_5,19.969999,9034,5879.0,2013-01-01,operator_34,3085.0,1542.1989,502.4,1,363,34732.74,0.44,0.02,0.29,,4.63,0.58,13191.99,6968.56,30.95,4723.0,,15,11,4913642.0,1.16,486.9787394,4064,580.5714285714286,11.134246575342466
treatment_company_5,-7.75,13023,7260.0,2015-03-01,operator_11,5420.0,512.48492,2.26,6,4724,34521.71,0.56,0.03,0.33,0.79,4.58,0.5,13052.83,7102.99,31.36,4671.0,7165.0,69,27,7804971.0,0.79,887.8860576,3275,467.85714285714283,8.972602739726028
treatment_company_12,-76.889999,9936,5945.0,2013-07-01,operator_19,3412.0,1422.9575,41.92,7,0,34579.82,0.44,0.02,0.33,0.86,4.67,0.59,13187.58,7039.6,31.16,4517.0,,80,13,4280864.0,0.77,384.7922216,3883,554.7142857142857,10.638356164383561
treatment_company_12,,10633,6259.0,2014-01-01,operator_22,4124.0,844.69672,1.27,19,7462,33858.07,0.44,0.02,0.33,0.85,4.68,0.59,13206.37,7037.54,31.15,4702.0,,100,19,7800685.0,1.13,1165.132832,3699,528.4285714285714,10.134246575342466
treatment_company_8,-12.12,12243,6549.0,2012-04-01,operator_6,5408.0,1809.413,5.63,4,3421,34952.24,0.23,0.01,0.24,,5.09,0.39,12337.41,6785.76,27.28,4270.0,,73,10,,1.17,1421.459843,4339,619.8571428571429,11.887671232876713
treatment_company_7,-47.02,12946,8951.0,2012-09-01,operator_11,3216.0,2123.9268,0.44,14,3852,34833.35,0.52,0.02,0.33,,4.44,0.27,13487.18,6854.06,30.59,5937.0,,75,9,1089553.0,0.69,620.7363435,4186,598.0,11.468493150684932
treatment_company_13,-41.77,13910,5583.0,2013-07-01,operator_15,7648.0,1015.6231,17.59,9,0,34634.34,0.81,0.07,0.19,,5.3,0.58,12618.0,7056.13,27.95,3432.0,,91,21,7185740.0,1.25,1057.711486,3883,554.7142857142857,10.638356164383561
treatment_company_12,-39.529999,13932,7785.0,2018-09-01,operator_4,5567.0,1417.285,4.61,5,3297,34735.2,0.17,0.02,0.33,0.9,4.68,0.74,12989.04,6996.36,31.15,4687.0,,101,28,12646536.0,1.5,2580.769723,1995,285.0,5.465753424657534
treatment_company_1,-2.1300001,11600,7660.0,2014-05-01,operator_25,3603.0,913.85675,67.89,9,0,34594.44,0.61,0.01,0.28,,3.21,0.55,11230.72,6775.75,28.98,5708.0,,90,20,5740858.0,0.86,1073.552287,3579,511.2857142857143,9.805479452054794
treatment_company_29,-49.82,8765,6609.0,2012-05-01,operator_14,1776.0,4918.9009,563.81,1,12780,30206.05,0.2,0.03,0.25,,5.14,0.62,11875.97,6781.64,27.63,4577.0,6486.0,81,11,4047350.0,1.05,2088.36451,4309,615.5714285714286,11.805479452054794
treatment_company_9,-12.52,13606,7773.0,2017-09-01,operator_6,5100.0,1187.0448,11.93,11,4910,33268.11,0.84,0.06,0.22,,2.95,0.48,11811.83,6809.81,28.05,6006.0,,85,19,7612057.0,1.5,2599.215673,2360,337.14285714285717,6.465753424657534
treatment_company_5,-41.650002,12658,7429.0,2015-03-01,operator_18,4894.0,552.74451,14.49,17,3392,34601.01,0.42,0.02,0.33,,4.69,0.59,13230.23,7017.28,31.09,5473.0,,97,33,6601325.0,1.05,1004.371152,3275,467.85714285714283,8.972602739726028
treatment_company_1,-41.27,17418,,2015-09-01,operator_8,10288.0,2214.208,2.46,21,4023,34634.34,0.76,0.02,0.34,,5.78,0.2,13700.52,6893.03,30.67,4685.0,,89,43,20374586.0,1.04,1914.974287,3091,441.57142857142856,8.468493150684932
treatment_company_2,-41.09,16155,6160.0,2015-07-01,operator_7,9750.0,2751.2017,123.92,2,6089,35504.02,0.26,0.01,0.29,,4.68,0.62,13263.35,6960.29,30.94,4358.0,,96,51,19898312.0,1.2,1578.313904,3153,450.42857142857144,8.638356164383561
treatment_company_1,-18.969999,12560,7350.0,2017-02-01,operator_5,4888.0,3985.7939,1.84,10,3831,34731.08,1.28,0.06,0.34,,4.27,1.77,12253.15,6432.73,29.63,5219.0,6132.0,77,24,12470437.0,1.2,1832.65429,2572,367.42857142857144,7.046575342465753
treatment_company_11,-23.5,12437,8148.0,2013-07-01,operator_6,4493.0,2399.5017,3.31,6,0,35063.55,1.42,0.05,0.23,,4.06,0.45,12193.38,6815.48,27.77,4230.0,,98,9,5510162.0,1.32,1538.464844,3883,554.7142857142857,10.638356164383561
treatment_company_12,-31.68,16533,8418.0,2014-07-01,operator_9,7776.0,2457.5232,14.99,7,4703,34365.49,0.94,0.05,0.27,,4.85,0.5,11581.41,7045.97,31.2,5975.0,,91,37,,1.08,797.8451085,3518,502.57142857142856,9.638356164383561
treatment_company_4,-35.02,12576,6721.0,2013-07-01,operator_1,5565.0,3115.2761,53.02,19,0,35140.32,0.56,0.02,0.34,0.85,4.5,0.28,13500.49,6877.83,30.66,4546.0,,101,18,6164748.0,0.93,2084.930986,3883,554.7142857142857,10.638356164383561
treatment_company_9,-31.129999,16055,6459.0,2018-05-01,operator_5,9241.0,4044.5259,45.08,3,3057,34807.8,1.38,0.05,0.34,,3.65,1.88,12357.45,6532.9,29.89,4242.0,5282.0,76,46,763879.0,0.04,2309.86577,2118,302.57142857142856,5.802739726027397
treatment_company_11,-13.62,12902,6381.0,2012-05-01,operator_6,5497.0,,29.56,14,5788,27092.15,0.98,0.03,0.22,0.56,4.77,0.7,11366.32,6785.4,26.61,9295.0,,50,12,5935884.0,1.23,723.0671564,4309,615.5714285714286,11.805479452054794
treatment_company_8,-54.529999,12564,6335.0,2017-01-01,operator_26,5588.0,4083.3865,28.99,7,0,31415.37,0.31,0.02,0.33,,4.67,0.62,13196.83,6994.84,31.06,4979.0,,98,22,10151674.0,0.91,478.9361715,2603,371.85714285714283,7.131506849315069
treatment_company_10,-66.419998,9800,6085.0,2012-01-01,operator_11,3355.0,1955.4047,0.89,6,6372,34824.22,0.26,0.02,0.33,,4.68,0.61,13247.61,6954.64,30.93,3802.0,,69,9,2761486.0,1.08,199.9708026,4430,632.8571428571429,12.136986301369863
treatment_company_4,13.46,16540,7540.0,2017-09-01,operator_4,8750.0,2140.6873,73.38,7,2299,28881.88,0.81,0.05,0.34,0.52,,1.02,12993.35,6612.42,29.97,4566.0,,100,37,16657230.0,1.36,2893.163534,2360,337.14285714285717,6.465753424657534
treatment_company_12,-58.369999,12492,8428.0,2012-07-01,operator_26,3685.0,934.51483,7.58,15,0,34553.94,0.27,0.03,0.33,0.98,5.18,0.91,13073.99,6984.95,31.69,5638.0,9481.0,85,9,2739042.0,0.78,584.9642686,4248,606.8571428571429,11.638356164383561
treatment_company_12,-55.110001,11086,5493.0,2018-09-01,operator_22,5343.0,3815.1475,1.65,17,8537,33749.47,0.55,,0.34,0.87,4.71,0.38,13462.05,6905.12,30.74,4170.0,,101,28,12576111.0,1.12,880.6321287,1995,285.0,5.465753424657534
treatment_company_5,-20.799999,21040,,2018-04-01,operator_5,13989.0,2213.1318,3.41,8,2077,34724.5,0.47,0.02,0.33,,4.64,0.57,13168.79,7058.84,31.22,4862.0,,77,70,28314020.0,1.07,4679.726254,2148,306.85714285714283,5.884931506849315
treatment_company_3,-13.68,13931,7089.0,2014-12-01,operator_5,6501.0,894.92255,0.41,7,0,31181.42,1.3,0.07,0.34,0.42,4.28,1.83,12157.02,6409.2,29.6,,,64,32,6480177.0,0.76,1520.400136,3365,480.7142857142857,9.219178082191782
treatment_company_1,-34.82,11340,6961.0,2017-10-01,operator_1,3999.0,2131.3936,3.78,8,1775,30761.22,0.49,0.02,0.33,0.87,4.66,0.59,13170.5,7029.04,31.13,4985.0,,99,19,7689927.0,1.38,2178.56896,2330,332.85714285714283,6.383561643835616
treatment_company_9,-25.91,17864,8893.0,2018-11-01,operator_6,8721.0,416.90167,13.17,6,0,27750.89,1.15,0.08,0.21,0.73,2.84,0.45,11864.68,6817.09,28.04,4427.0,,77,29,14932883.0,1.71,1513.957944,1934,276.2857142857143,5.298630136986302
treatment_company_3,-43.18,17073,6298.0,2017-08-01,operator_15,10525.0,,30.56,3,0,35185.98,0.44,0.02,0.33,,4.71,0.56,13320.35,6961.99,30.94,4848.0,,66,41,16345489.0,2.1,1673.660579,2391,341.57142857142856,6.550684931506849
treatment_company_8,-35.330002,11495,6744.0,2012-07-01,operator_4,4324.0,,8.81,15,7417,34726.36,0.31,0.02,0.33,,4.66,0.61,13182.77,7015.94,31.11,4376.0,,83,15,5950557.0,1.13,477.6019857,4248,606.8571428571429,11.638356164383561
treatment_company_10,-25.950001,19143,7445.0,2017-12-01,operator_4,11448.0,,14.94,6,0,34773.26,0.6,0.04,0.33,,4.75,0.45,12764.1,7179.85,31.72,5678.0,,98,72,24952536.0,1.05,5059.138366,2269,324.14285714285717,6.2164383561643834
treatment_company_4,-17.85,13811,5996.0,2016-06-01,operator_7,6947.0,631.27002,16.75,5,3462,34391.15,0.52,0.02,0.27,,4.44,0.27,13487.18,6854.06,30.59,4166.0,,93,36,9055875.0,1.09,1228.396838,2817,402.42857142857144,7.717808219178083
treatment_company_1,-53.900002,13836,8090.0,2013-07-01,operator_26,5225.0,1774.6006,4.37,10,3582,33042.41,1.11,0.05,0.32,,5.46,0.83,12633.21,7381.92,32.72,5248.0,,93,15,4992974.0,0.8,722.1376347,3883,554.7142857142857,10.638356164383561
treatment_company_10,-27.120001,10760,6485.0,2012-08-01,operator_11,3673.0,4254.8628,4.07,10,0,35207.9,0.34,0.02,0.33,0.75,4.8,0.49,13260.29,7158.92,31.37,4328.0,6074.0,69,18,9034532.0,1.33,749.6986084,4217,602.4285714285714,11.553424657534247
treatment_company_8,-14.69,14678,8426.0,2013-01-01,operator_6,6362.0,2946.9929,13.74,19,2288,34594.44,1.41,0.08,0.22,,4.03,0.49,12188.09,6822.02,27.83,5050.0,9238.0,83,9,7871139.0,1.41,2193.232518,4064,580.5714285714286,11.134246575342466
treatment_company_2,-42.59,11210,6356.0,2014-01-01,operator_2,4390.0,3572.7239,10.24,6,0,30584.51,0.4,0.02,0.21,,4.58,0.44,14501.58,6794.11,26.11,4861.0,8936.0,108,12,7179316.0,1.94,1400.621177,3699,528.4285714285714,10.134246575342466
treatment_company_12,-25.559999,11463,8096.0,2013-01-01,operator_19,2897.0,1068.6906,22.62,8,3661,34789.16,0.9,0.06,0.31,,,0.3,13096.09,7018.67,31.74,6139.0,,83,14,5509186.0,1.21,577.6465884,4064,580.5714285714286,11.134246575342466
treatment_company_8,,16207,5979.0,2014-10-01,operator_1,9848.0,,30.53,8,0,35224.25,0.06,0.02,0.34,,4.61,0.73,13170.64,6895.76,30.78,,,79,39,15216418.0,1.22,650.5596196,3426,489.42857142857144,9.386301369863014
treatment_company_12,-39.84,16010,6298.0,2017-05-01,operator_8,9258.0,843.72998,154.54,3,7109,32081.61,0.27,0.02,0.33,,4.68,0.63,13220.38,6970.94,30.98,4115.0,,90,45,17972466.0,1.3,1498.558974,2483,354.7142857142857,6.802739726027397
treatment_company_2,-50.049999,14565,7898.0,2016-03-01,operator_4,6439.0,3302.4597,8.3,12,0,34798.83,0.86,0.04,0.34,,4.21,0.12,13544.72,6819.87,30.49,4798.0,,99,32,8555328.0,0.89,2683.929989,2909,415.57142857142856,7.96986301369863
treatment_company_10,-16.93,11638,5826.0,2013-07-01,operator_1,5419.0,4213.7256,11.76,7,0,35153.19,0.06,0.02,0.33,,4.61,0.73,13169.32,6894.85,30.77,4398.0,,87,11,6950679.0,1.48,569.479928,3883,554.7142857142857,10.638356164383561
treatment_company_1,-22.540001,15675,5838.0,2018-04-01,operator_1,9587.0,3400.9429,4.89,8,0,34782.05,0.48,,0.33,,4.65,0.58,13166.54,7031.03,31.14,4352.0,8493.0,97,65,31351924.0,1.55,1670.524978,2148,306.85714285714283,5.884931506849315
treatment_company_4,-39.209999,10252,6521.0,2012-03-01,operator_1,3405.0,,14.96,11,6808,35185.86,0.76,,0.2,,4.47,0.54,12754.05,6799.38,26.26,4344.0,,95,13,6325061.0,0.94,1095.449116,4370,624.2857142857143,11.972602739726028
