treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_5,-40.669998,11816,6936.0,2016-02-01,operator_16,4630.0,3062.8435,9.37,20,10228,35258.45,0.99,0.04,0.34,0.51,3.81,1.56,12622.5,6581.19,29.95,4860.0,5942.0,78,23,4160750.0,0.73,1213.243506,2938,419.7142857142857,8.04931506849315
treatment_company_7,-25.700001,13779,8487.0,2014-07-01,operator_6,5052.0,,12.24,2,2791,34538.91,1.3,0.09,0.21,,2.88,0.45,11969.87,6822.7,28.03,5271.0,,81,27,9445394.0,1.29,4185.294342,3518,502.57142857142856,9.638356164383561
treatment_company_1,-13.22,11845,6538.0,2018-09-01,operator_17,4935.0,926.94214,190.95,2,530,30847.96,0.78,0.06,0.26,0.77,5.16,0.45,13061.34,6774.88,27.22,4374.0,6668.0,80,25,8834125.0,0.95,1999.76295,1995,285.0,5.465753424657534
treatment_company_5,-39.77,16773,7024.0,2015-03-01,operator_18,8725.0,665.36377,24.95,7,5825,31925.1,0.46,0.02,0.33,0.8,4.69,0.59,13229.9,7035.71,31.14,5062.0,,93,38,8670911.0,0.99,1959.238946,3275,467.85714285714283,8.972602739726028
treatment_company_12,-41.130001,18644,7949.0,2018-08-01,operator_4,10445.0,3714.8999,83.05,3,4386,33220.79,0.23,0.04,0.34,,4.38,0.66,13292.28,6827.72,30.54,5471.0,,99,53,23217020.0,1.43,4360.228367,2026,289.42857142857144,5.550684931506849
treatment_company_4,-29.66,13722,7867.0,2015-10-01,operator_4,5559.0,,8.74,8,1235,35185.98,0.18,0.03,0.33,,4.82,0.84,12864.27,7008.96,31.34,5938.0,,89,39,9530856.0,0.84,1855.806584,3061,437.2857142857143,8.386301369863014
treatment_company_12,-59.740002,12646,5897.0,2014-01-01,operator_19,6317.0,3535.9065,7.15,3,2969,34228.79,0.56,0.01,0.33,,4.76,0.41,13455.52,6921.39,30.79,3995.0,4364.0,79,22,7561729.0,0.92,719.9502925,3699,528.4285714285714,10.134246575342466
treatment_company_1,-30.219999,14390,8012.0,2011-01-01,operator_20,6050.0,2023.3851,4.56,11,6588,34112.47,1.0,0.06,0.29,,6.08,0.42,11723.42,7030.38,31.58,5964.0,,80,16,5624710.0,1.23,1389.36745,4795,685.0,13.136986301369863
treatment_company_5,-80.550003,11065,6732.0,2013-07-01,operator_3,4053.0,900.47876,19.74,13,6284,35188.37,0.79,,0.32,,4.73,0.48,12703.22,7485.87,32.72,3951.0,,97,13,,1.37,681.9005685,3883,554.7142857142857,10.638356164383561
treatment_company_1,-45.759998,13014,8048.0,2011-07-01,operator_20,4581.0,4908.3149,23.2,5,3745,34899.94,0.99,0.06,0.3,0.79,6.43,0.36,12322.49,7021.94,31.62,,,93,19,8046568.0,1.55,792.3838722,4614,659.1428571428571,12.64109589041096
