mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.151629353,0.062060507,0.038440228,0.02795582,friedman_mse,,sqrt,50,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.613090508,0.685773379,0.614157805,0.571352656,0.591583001,0.61519147,0.038643214,61
0.116028547,0.032458861,0.03978076,0.009079831,squared_error,20,sqrt,50,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.61027323,0.693614349,0.590859107,0.563003998,0.606554574,0.612861052,0.043674649,62
1.017173719,0.076703759,0.026071501,0.007862523,absolute_error,20,log2,100,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",0.601622408,0.699447108,0.603771232,0.563493757,0.595136673,0.612694235,0.045732311,63
0.103497601,0.02098673,0.040212107,0.014738938,friedman_mse,20,log2,50,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 50}",0.606576288,0.687282326,0.60859615,0.571859699,0.585782323,0.612019357,0.040017596,64
0.141055059,0.046308058,0.051411533,0.039488221,squared_error,20,log2,50,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 50}",0.591870056,0.691395233,0.615045848,0.56687713,0.58919552,0.610876758,0.043053233,65
0.115468597,0.046437278,0.039268494,0.013910211,squared_error,,log2,50,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 50}",0.570566167,0.688856086,0.617049075,0.59432861,0.58099393,0.610358773,0.042212084,66
0.106697416,0.032885061,0.047618532,0.017924919,squared_error,30,log2,50,"{'criterion': 'squared_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 50}",0.570566167,0.688856086,0.617049075,0.59432861,0.58099393,0.610358773,0.042212084,66
0.222943544,0.053906474,0.043562222,0.012398608,squared_error,10,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.602924099,0.673573019,0.59956545,0.568126427,0.603481931,0.609534185,0.034627369,68
0.123576212,0.045624743,0.029856396,0.007626694,friedman_mse,,log2,50,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 50}",0.574355096,0.673562112,0.623039537,0.589812225,0.586425595,0.609438913,0.035895558,69
0.118619394,0.037415556,0.032249403,0.007517633,friedman_mse,30,log2,50,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 50}",0.574355096,0.673562112,0.623039537,0.589812225,0.586425595,0.609438913,0.035895558,69
0.103223658,0.021512963,0.049921465,0.032937089,squared_error,10,sqrt,50,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}",0.595302439,0.678773166,0.596266781,0.569849004,0.605636187,0.609165515,0.036775077,71
0.319523859,0.039162229,0.072303391,0.016647289,squared_error,10,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.598180756,0.676037226,0.593961244,0.560041097,0.615692861,0.608782637,0.038154272,72
0.393647194,0.084504186,0.025578833,0.005560091,absolute_error,,log2,50,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 50}",0.599071827,0.676910089,0.599533201,0.599599438,0.567587222,0.608540356,0.036338138,73
0.849680758,0.118998784,0.087166262,0.013934276,squared_error,10,sqrt,500,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.598866966,0.678306624,0.596649893,0.563429817,0.60391979,0.608234618,0.037836841,74
0.79596405,0.029364856,0.084655094,0.008655874,friedman_mse,10,sqrt,500,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.600443618,0.678803012,0.594634245,0.563783486,0.601930227,0.607918918,0.038054483,75
0.515025043,0.084534194,0.023720598,0.005929676,absolute_error,30,log2,50,"{'criterion': 'absolute_error', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 50}",0.597818772,0.671297049,0.59664125,0.60193016,0.571553529,0.607848152,0.033479151,76
0.309906769,0.036394069,0.03786521,0.002676439,friedman_mse,10,sqrt,200,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.598794276,0.674770003,0.591426432,0.560992065,0.6102644,0.607249435,0.037495916,77
0.276085806,0.078106393,0.071923637,0.047406188,friedman_mse,10,sqrt,100,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.601185815,0.670397274,0.594094813,0.570129111,0.595093085,0.606180019,0.033815494,78
0.396336412,0.092209302,0.031681013,0.01610133,absolute_error,20,log2,50,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 50}",0.602103049,0.684360333,0.616719016,0.555681682,0.566783102,0.605129436,0.045467646,79
0.330342531,0.051276979,0.050117874,0.008534137,friedman_mse,10,log2,200,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",0.595391395,0.676056223,0.593965667,0.559207796,0.596669687,0.604258154,0.038539946,80
0.290294027,0.123518978,0.146537399,0.108521388,friedman_mse,10,sqrt,50,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}",0.59672644,0.670711396,0.587676242,0.570672161,0.594243025,0.604005853,0.034570865,81
0.832292032,0.045604302,0.086899281,0.020362542,friedman_mse,10,log2,500,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",0.595017682,0.670680502,0.600819786,0.556718372,0.594741015,0.603595471,0.037033898,82
0.990318203,0.107722485,0.108328676,0.018919044,squared_error,10,log2,500,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",0.594686029,0.673312618,0.597447184,0.557297048,0.595158039,0.603580184,0.037927281,83
